% ra in hours and minutes, dec in degrees and minutes, rms timing noise in microsec
J0437-4715   0.14
J0613-0200   2.19
J0711-6830   1.04
J1022+1001   0.60
J1024-0719   0.35
J1045-4509   3.24
J1600-3053   2.67
J1603-7202   1.64
J1643-1224   4.86
J1713+0747   0.89
J1730-2304   0.51
J1732-5049   1.81
J1744-1134   0.17
J1824-2452   3.62
J1909-3744   0.56
J1939+2134   3.58
J2124-3358   0.25
J2129-5721   2.55
J2145-0750   0.50
B1855+0900   0.70
